rank,listing_id,addr,lat,lng,floor,deposit_만원,monthly_rent_만원,size_평,flpop_lunch,flpop_dinner,flpop_etc,dist_station,dist_bus_stop,cnt_crosswalk,is_road,cnt_academy,cnt_hospital,cnt_school,cnt_company,cnt_banapresso,cnt_high_cafe,cnt_low_cafe,cnt_etc_cafe,location_score,success_prob
1,913477,서울특별시 강남구 역삼동,37.5044520198,127.0345215252,4층,3000.0,180.0,23.0,985131.5,882135.0,752222.8125,332.9408713764114,119.95689960320556,9,1,0,1,0,0,0,0,2,24,0.48540313543525615,0.7427826306027159
2,419277,서울특별시 강남구 논현동,37.5109350019529,127.022218565558,1층,3000.0,230.0,16.0,388874.5,478718.0,397097.625,57.7641849465931,49.24040289180498,16,1,0,5,0,0,0,3,4,32,0.45111214554548273,0.7059531791285972
3,918579,서울특별시 강남구 논현동,37.5105746197,127.0221144016,3층,15339.0,1053.0,95.7,388874.5,478718.0,397097.625,80.2763302237233,63.60126421286567,10,1,0,5,0,0,0,3,4,32,0.43957487806849427,0.7003449719706301
4,553538,서울특별시 강남구 논현동,37.5096809953327,127.022632607729,4층,10000.0,600.0,40.0,388874.5,478718.0,397097.625,189.41379793358848,42.675877520041425,13,1,0,4,0,0,0,4,2,32,0.42824429737963743,0.694308635260291
5,553540,서울특별시 강남구 논현동,37.5096809953327,127.022632607729,5층,8000.0,550.0,39.0,388874.5,478718.0,397097.625,189.41379793358848,42.675877520041425,13,1,0,4,0,0,0,4,2,32,0.42824429737963743,0.694308635260291
6,557966,서울특별시 강남구 논현동,37.5096809953327,127.022632607729,지하1층,10000.0,1000.0,61.0,388874.5,478718.0,397097.625,189.41379793358848,42.675877520041425,13,1,0,4,0,0,0,4,2,32,0.42824429737963743,0.694308635260291
7,878448,서울특별시 강남구 논현동,37.510091465,127.0232407833,1층,4000.0,210.0,6.0,388874.5,478718.0,397097.625,186.72653394791874,111.65344853040301,10,1,0,4,0,0,0,4,2,36,0.4135763711846566,0.6906697849708799
8,921771,서울특별시 강남구 논현동,37.5095617494,127.0228560653,1층,1100.0,110.0,17.8,388874.5,478718.0,397097.625,210.57481092672143,47.31993166483583,13,1,0,4,0,0,0,4,2,32,0.4259047772543194,0.6901549323897058
9,919648,서울특별시 강남구 논현동,37.5119657772,127.0220786176,지하1층,3000.0,250.0,48.0,388874.5,478718.0,397097.625,92.96941782315452,77.35425794625056,18,1,0,5,0,0,0,2,4,29,0.4420801273858719,0.6837740828309617
10,926429,서울특별시 서초구 잠원동,37.5112740724,127.0206035034,3층,1201.0,120.0,15.6,388874.5,478718.0,397097.625,93.99878724183404,129.74284242561714,15,1,0,4,0,0,0,2,4,33,0.4203398399753669,0.6771157365769117
11,840478,서울특별시 서초구 잠원동,37.5112740724,127.0206035034,지하1층,1000.0,100.0,22.1,388874.5,478718.0,397097.625,93.99878724183404,129.74284242561714,15,1,0,4,0,0,0,2,4,33,0.4203398399753669,0.6771157365769117
12,914037,서울특별시 서초구 잠원동,37.5127815816384,127.019305766957,1층,30000.0,2700.0,180.5,568765.0,648546.5,510767.5,272.92925511225457,117.46673840355936,14,1,0,2,0,0,0,2,4,29,0.4310273243561039,0.6765257929614705
13,897784,서울특별시 서초구 잠원동,37.5130042353,127.0192104732,4층,2000.0,130.0,14.0,568765.0,648546.5,510767.5,295.6207929740858,124.06318900005928,13,1,0,2,0,0,0,2,4,30,0.42750161980255597,0.6743297592201335
