nm,type,apv_date,addr,floor,sitearea,lat,lng,flpop_type,trdar_cd,adstrd_cd,detail,flpop_lunch,flpop_dinner,flpop_etc,cnt_academy,cnt_hospital,cnt_school,cnt_company,dist_station,dist_bus_stop,cnt_crosswalk,is_road,cnt_banapresso,cnt_high_cafe,cnt_low_cafe,cnt_etc_cafe
바나프레소 테헤란로점,커피숍,2019-05-23,서울 강남구 테헤란로 208,1.0,98.4,37.5011301173784,127.039098610917,TR,3120197.0,11680650,banapresso,985131.5,882135.0,752222.8125,0,1,0,0,223.59801847356005,24.7661017374611,8,1,1,6,6,27
바나프레소 신논현역점,커피숍,2019-08-06,서울 서초구 사평대로 364,1.0,107.24,37.5037327208746,127.023195609704,TR,3120187.0,11650531,banapresso,589152.0,788268.0,560948.125,0,1,0,0,765.9793950514224,57.03153836600474,18,1,1,6,8,36
바나프레소 선릉공원점,커피숍,2021-07-23,서울 강남구 테헤란로63길 20,1.0,97.28,37.5065217786409,127.050397908819,TR,3120210.0,11680590,banapresso,951358.25,983513.0,833761.125,1,2,0,0,258.61025715107274,139.65317709885576,16,1,1,1,10,25
바나프레소 충무로점,커피숍,2022-09-19,서울 중구 필동로 15,1.0,148.43,37.5603388092001,126.996256659638,TR,3120032.0,11140570,banapresso,357098.25,362848.5,287171.875,0,0,0,0,209.26549037683642,165.18190265234477,21,1,1,4,5,31
바나프레소 홍대입구역사거리점,커피숍,2022-11-07,서울 마포구 양화로 129,1.0,33.0,37.5550607718839,126.920693732271,TR,3120102.0,11440660,banapresso,409679.75,552486.25,389756.625,0,1,0,0,332.2994692284546,58.952810600404376,36,1,1,4,4,28
바나프레소 양재이안점,커피숍,2023-01-31,서울 서초구 강남대로34길 7,1.0,48.33,37.4830322462208,127.036464509789,TR,3120179.0,11650651,banapresso,440356.25,473092.5,400709.25,0,1,0,0,196.92924462062618,68.32297893940165,12,1,1,6,5,20
바나프레소 여의도파크원점,커피숍,2021-03-18,서울 영등포구 여의대로 108,-1.0,59.16,37.5251913154781,126.929112756574,TR,3120149.0,11560540,banapresso,364928.5,317197.25,246954.3125,0,0,0,0,392.1448453957877,28.172926166402995,27,1,1,3,1,24
바나프레소 양평역점,커피숍,2015-08-05,서울 영등포구 양산로 43,1.0,59.4,37.5257610278541,126.887942282336,TR,3120135.0,11560610,banapresso,82196.0,68874.0,71096.875,0,0,0,5,98.90783571368003,50.168375341500756,24,1,1,1,2,15
바나프레소 명동중앙우체국점,커피숍,2021-10-29,서울 중구 명동8나길 51,1.0,193.85,37.5610796592227,126.982076857446,TR,3120028.0,11140550,banapresso,449272.25,410975.75,273562.8125,0,1,0,0,341.656695424639,57.12760886342663,16,1,1,5,4,62
바나프레소 마포역점,커피숍,2015-11-17,서울 마포구 마포대로 34,1.0,33.0,37.539260435206,126.946151540413,TR,3120106.0,11440585,banapresso,117808.75,141110.0,142316.5,0,1,0,0,41.33068314082808,61.846039389503765,31,1,1,2,4,14
