listing_id,addr,lat,lng,business_type,transaction_type,sale_price,key_money,deposit,monthly_rent,maintenance_fee,size_m2,floor,flpop_type,trdar_cd,adstrd_cd,flpop_lunch,flpop_dinner,flpop_etc,cnt_academy,cnt_hospital,cnt_school,cnt_company,dist_station,dist_bus_stop,cnt_crosswalk,is_road,floor_score,cnt_banapresso,cnt_high_cafe,cnt_low_cafe,cnt_etc_cafe,actual_rent,rent_index,startup_cost,coverage,rent_score,capital_score,cost_score,location_score,recom_score,rank
575115,서울특별시 강남구 논현동,37.5193055943467,127.029261558155,사무실,월세,0,0,30000000,2000000,0,82.6,4,T,3120190,11680531,265091.5,267129.0,233949.25,0,2,0,0,599.3462432798647,92.45854870203391,17,1,0.3999999999999999,0,1,2,22,2000000,0.4063363722618704,50950363.63636364,1.0,9.772556071543098,15.0,24.7725560715431,0.6885612259055698,76.41464801446082,944
703777,서울특별시 서초구 잠원동,37.5117750418,127.020540301,카페/커피,월세,0,40000000,50000000,3000000,0,33.06,1,T,3120185,11650540,388874.5,478718.0,397097.625,0,4,0,0,117.56606814508024,133.22581797012754,16,1,1.0,0,2,5,35,3000000,0.685269786393382,98385218.18181819,1.0,9.616425053453778,15.0,24.616425053453778,0.9289678233861003,94.2890118074113,65
701846,서울특별시 강남구 논현동,37.5126578411906,127.021576618762,사무실,월세,0,0,35000000,3000000,0,49.59,2,T,3120185,11680521,388874.5,478718.0,397097.625,0,4,0,0,162.3930375915817,92.38154123014155,16,1,0.8,0,2,4,28,3000000,0.5600420903166916,47577827.27272727,1.0,9.686520376175547,15.0,24.686520376175547,0.9107967732674777,92.99627837123637,110
455221,서울특별시 강남구 논현동,37.5090318416,127.0234530889,한식/고기집,월세,0,220000000,80000000,5500000,1200000,264.5,2,T,3130303,11680521,54920.75,80063.75,58347.5,0,2,1,0,288.3315689786203,99.55345759433705,15,1,0.8,0,4,2,27,6700000,1.2507606683739445,367086818.1818182,0.326898145224501,9.299895506792058,4.903472178367515,14.203367685159574,0.5852795535476576,58.09933420123389,1280
394623,서울특별시 강남구 논현동,37.5158561507,127.0308438008,가구/가전,월세,0,200000000,50000000,3100000,600000,165.0,1,T,3120191,11680531,378147.0,391751.0,381067.3125,0,1,0,0,191.41701536745316,87.94205640753347,10,1,1.0,0,1,1,23,3700000,0.7517222886844602,291850000.0,0.4111701216378276,9.579228732354732,6.167551824567415,15.746780556922147,0.9471310763653351,86.78161128432228,413
690195,서울특별시 강남구 논현동,37.5072440303,127.0245247227,사무실,월세,0,0,30000000,2700000,300000,112.4,1,T,3120187,11680521,589152.0,788268.0,560948.125,0,1,1,0,507.27644691579303,120.20582902583558,13,1,1.0,0,5,5,32,3000000,0.5600420903166916,58508727.27272727,1.0,9.686520376175547,15.0,24.686520376175547,0.9459683995841344,95.63415034498563,23
687362,서울특별시 강남구 논현동,37.50587801956,127.024940478275,노래방/PC방/당구장/기타,월세,0,70000000,30000000,3350000,0,181.82,3,T,3120187,11680521,589152.0,788268.0,560948.125,0,1,0,0,658.700367338321,71.00206668091823,18,1,0.6,1,6,6,33,3350000,0.6253803341869723,146116163.63636363,0.8212643763262332,9.64994775339603,12.318965644893497,21.968913398289526,0.790631597841946,81.26628323643548,740
686816,서울특별시 서초구 잠원동,37.5144406772564,127.019386390307,기타,월세,0,0,300000000,25000000,0,214.558,7,T,3120178,11650540,568765.0,648546.5,510767.5,0,0,0,0,236.5005808684061,69.49406557695464,17,1,0.0,0,2,1,19,25000000,5.710581553278183,354419710.9090909,0.338581620339903,6.803542112114815,5.078724305098545,11.88226641721336,0.7232079477647364,66.1228624995686,1209
686841,서울특별시 강남구 신사동,37.520441345,127.0272258334,사무실,월세,0,0,25000000,2500000,0,66.1,1,T,3120190,11680510,265091.5,267129.0,233949.25,0,2,0,0,675.1354960920919,147.7813157182856,14,1,1.0,0,2,2,25,2500000,0.44215232678240446,41765363.63636363,1.0,9.752508342731034,15.0,24.752508342731034,0.8055193175498319,85.16645715896843,527
685491,서울특별시 강남구 논현동,37.5134434247751,127.022074528478,사무실,월세,0,0,40000000,3000000,0,95.87,1,T,3120185,11680521,388874.5,478718.0,397097.625,0,3,0,0,252.2791142157204,139.6498287428576,14,1,1.0,0,2,1,23,3000000,0.5600420903166916,64316118.18181819,1.0,9.686520376175547,15.0,24.686520376175547,0.9370936975831226,94.96854769490974,48
